Authors,Article Title,Publication Year,Abstract,Addresses,DOI,"Times Cited, All Databases",Source Title,tak,v_name,v_country
"Chamberlain K.J., Barclay J., Preece K., Brown R.J., McIntosh I., EIMF",DEEP AND DISTURBED CONDITIONS FOR FORMATION AND ERUPTION OF A MINGLED RHYOLITE AT ASCENSION ISLAND SOUTH ATLANTIC,2020,NA,"Institute for Marine Geodynamics, Japan Agency for Marine Earth Science and Technology, Yokosuka, 237-0061, Japan; School of Environmental Sciences, University of Derby, Derby, DE22 1GB, United Kingdom; School of Environmental Sciences, University of East Anglia, Norwich, NR4 7TJ, United Kingdom; Department of Geography, College of Science, Swansea University, Swansea, SA2 8PP, United Kingdom; Department of Earth Sciences, Durham University, Durham, DH1 3LE, United Kingdom; Edinburgh Ion Microprobe Facility, University of Edinburgh, Edinburgh, EH9 3FE, United Kingdom",10.30909/vol.03.01.139153,2,Volcanica,  DEEP AND DISTURBED CONDITIONS FOR FORMATION AND ERUPTION OF A MINGLED RHYOLITE AT ASCENSION ISLAND SOUTH ATLANTIC NA ASCENSION ISLAND CRUSTAL MELTING MAGMA GENESIS MAGMA MINGLING EXPLOSION FELSIC ROCK IDENTIFICATION METHOD MAGMA ASSIMILATION MELTING RHYOLITE VOLCANIC ERUPTION VOLCANIC GLASS ASCENSION ISLAND  ,Ascension,United Kingdom
"Tsang S.W.R., Lindsay J.M., Coco G., Deligne N.I.",THE INFLUENCE OF SURFICIAL FEATURES IN LAVA FLOW MODELLING,2020,NA,"School of Environment, University of Auckland, Auckland, New Zealand; GNS Science, Avalon, Lower Hutt, New Zealand",10.1186/s13617-020-00095-z,2,Journal of Applied Volcanology,  THE INFLUENCE OF SURFICIAL FEATURES IN LAVA FLOW MODELLING DAMAGE MECHANICS DIGITAL ELEVATION MODEL FLOW MODELING LAVA FLOW SOCIOECONOMIC CONDITIONS STAKEHOLDER URBAN AREA VOLCANIC ERUPTION AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND AUCKLAND VOLCANIC FIELD BIRKENHEAD DEM DSM LAVA FLOW HAZARD MODELLING MT EDEN OTĀHUHU DAMAGE MECHANICS DIGITAL ELEVATION MODEL FLOW MODELING LAVA FLOW SOCIOECONOMIC CONDITIONS STAKEHOLDER URBAN AREA VOLCANIC ERUPTION AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND  ,Auckland Volcanic Field,New Zealand
"Tsang S.W.R., Lindsay J.M., Kennedy B., Deligne N.I.",THERMAL IMPACTS OF BASALTIC LAVA FLOWS TO BURIED INFRASTRUCTURE WORKFLOW TO DETERMINE THE HAZARD,2020,NA,"School of Environment, University of Auckland, Auckland, New Zealand; Department of Geological Sciences, University of Canterbury, Christchurch, New Zealand; Gns Science, Lower Hutt, Wellington, New Zealand",10.1186/s13617-020-00098-w,2,Journal of Applied Volcanology,  THERMAL IMPACTS OF BASALTIC LAVA FLOWS TO BURIED INFRASTRUCTURE WORKFLOW TO DETERMINE THE HAZARD BASALT BUILDING HAZARD ASSESSMENT LAVA FLOW STAKEHOLDER TEMPERATURE EFFECT VOLCANIC ERUPTION AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND AUCKLAND VOLCANIC FIELD HAZARD ASSESSMENT HAZARD INTENSITY METRIC HEAT TRANSFER MODELLING LOSS OF FUNCTION BASALT BUILDING HAZARD ASSESSMENT LAVA FLOW STAKEHOLDER TEMPERATURE EFFECT VOLCANIC ERUPTION AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND  ,Auckland Volcanic Field,New Zealand
"Hayes J., Wilson T.M., Deligne N.I., Cole J., Hughes M.",A MODEL TO ASSESS TEPHRA CLEAN-UP REQUIREMENTS IN URBAN ENVIRONMENTS,2017,NA,"Department of Geological Sciences, University of Canterbury, Christchurch, New Zealand; GNS Science, Lower Hutt, New Zealand; Department of Civil and Natural Resources Engineering, University of Canterbury, Christchurch, New Zealand",10.1186/s13617-016-0052-3,18,Journal of Applied Volcanology,  A MODEL TO ASSESS TEPHRA CLEAN UP REQUIREMENTS IN URBAN ENVIRONMENTS NA AUCKLAND AUCKLAND VOLCANIC FIELD DISASTER HAZARD NEW ZEALAND PLANNING RECOVERY RESPONSE RISK VOLCANIC ASH WASTE CLEANUP HAZARD ASSESSMENT HAZARD MANAGEMENT NUMERICAL MODEL PLANNING METHOD RECOVERY PLAN RISK ASSESSMENT TEPHRA URBAN AREA VOLCANIC ASH WASTE TECHNOLOGY AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND  ,Auckland Volcanic Field,New Zealand
"Daly M., Johnston D.",THE GENESIS OF VOLCANIC RISK ASSESSMENT FOR THE AUCKLAND ENGINEERING LIFELINES PROJECT 1996-2000,2015,NA,"GNS Science Ltd, PO Box 30368, Lower Hutt, 5040, New Zealand",10.1186/s13617-015-0027-9,6,Journal of Applied Volcanology,  THE GENESIS OF VOLCANIC RISK ASSESSMENT FOR THE AUCKLAND ENGINEERING LIFELINES PROJECT 1996 2000 NA AUCKLAND LIFELINE INTERDEPENDENCIES LIFELINE UTILITIES VOLCANIC RISK ASSESSMENT DAMAGE ENGINEERING RISK ASSESSMENT TECHNOLOGICAL CHANGE UTILITY SECTOR VOLCANIC ERUPTION AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND  ,Auckland Volcanic Field,New Zealand
"Runge M.G., Bebbington M.S., Cronin S.J., Lindsay J.M., Moufti M.R.",SENSITIVITY TO VOLCANIC FIELD BOUNDARY,2015,NA,"University of Auckland, Private Bag 92019, Auckland, 1142, New Zealand; Massey University, Palmerston North, New Zealand; King Abdulaziz University, Jeddah, Saudi Arabia",10.1186/s13617-015-0040-z,12,Journal of Applied Volcanology,  SENSITIVITY TO VOLCANIC FIELD BOUNDARY NA AUCKLAND VOLCANIC FIELD HARRAT RAHAT HAZARD FORECASTING PROBABILISTIC ENSEMBLE FORECASTING FIELD MARGIN FORECASTING METHOD PROBABILITY SENSITIVITY ANALYSIS VOLCANIC ERUPTION VOLCANISM AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND HARRAT RAHAT MADINAH NEW ZEALAND NORTH ISLAND SAUDI ARABIA SAUDI ARABIA  ,Auckland Volcanic Field,New Zealand
"Tomsen E., Lindsay J.M., Gahegan M., Wilson T.M., Blake D.M.",EVACUATION PLANNING IN THE AUCKLAND VOLCANIC FIELD NEW ZEALAND A SPATIO-TEMPORAL APPROACH FOR EMERGENCY MANAGEMENT AND TRANSPORTATION NETWORK DECISIONS,2014,NA,"School of Environment, The University of Auckland, Private Bag 92019, Auckland, New Zealand; Centre for eResearch and Department of Computer Science, University of Auckland, Private Bag 92019, Auckland, New Zealand; Centre for Risk, Resilience and Renewal, Department of Geological Sciences, University of Canterbury, Private Bag 4800, Christchurch, New Zealand; CMR 464, Box 2361, APO, AE09226, United States",10.1186/2191-5040-3-6,15,Journal of Applied Volcanology,  EVACUATION PLANNING IN THE AUCKLAND VOLCANIC FIELD NEW ZEALAND A SPATIO TEMPORAL APPROACH FOR EMERGENCY MANAGEMENT AND TRANSPORTATION NETWORK DECISIONS NA EMERGENCY MANAGEMENT GEOSPATIAL ANALYSIS HAZARD RISK TRANSPORTATION MODELLING VULNERABILITY DECISION ANALYSIS ENVIRONMENTAL PLANNING HAZARD ASSESSMENT MANAGEMENT PRACTICE MOTORWAY SPATIAL ANALYSIS SPATIOTEMPORAL ANALYSIS TOURIST DESTINATION TRANSPORTATION SYSTEM VOLCANIC ERUPTION VULNERABILITY AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND NEW ZEALAND NORTH ISLAND  ,Auckland Volcanic Field,New Zealand
"Garrison C.S., Kilburn C.R.J., Edwards S.J.",THE 1831 ERUPTION OF BABUYAN CLARO THAT NEVER HAPPENED HAS THE SOURCE OF THE ONE OF THE LARGEST VOLCANIC CLIMATE FORCING EVENTS OF THE NINETEENTH CENTURY BEEN MISATTRIBUTED,2018,NA,"University College London, UCL Hazard Centre, Department of Earth Sciences, Gower Street, London, WC1E 6BT, United Kingdom",10.1186/s13617-018-0078-9,3,Journal of Applied Volcanology,  THE 1831 ERUPTION OF BABUYAN CLARO THAT NEVER HAPPENED HAS THE SOURCE OF THE ONE OF THE LARGEST VOLCANIC CLIMATE FORCING EVENTS OF THE NINETEENTH CENTURY BEEN MISATTRIBUTED NA CLIMATOLOGY FALSE ERUPTION HISTORICAL MISATTRIBUTED ERUPTION VOLCANOLOGY AEROSOL CLIMATE FORCING CLIMATE MODELING HAZARD ASSESSMENT NINETEENTH CENTURY VOLCANIC ERUPTION VOLCANO VOLCANOLOGY PHILIPPINES  ,Babuyan Claro,Philippines
"Driedger C., Calvache M., Cortés G.P., Ewert J., Montoya J., Lockhart A., Allen R., Banks D., Beason S., Bocanegra H.T., Burkhart F., Bustad K., Gallego J.A., Gibson Z., Giraldo F.R., Gutierrez C., Quintero J.I., Rodríguez E., Schelling J., Scott M.",LEVERAGING LESSONS LEARNED TO PREVENT FUTURE DISASTERS  INSIGHTS FROM THE 2013 COLOMBIA-US BINATIONAL EXCHANGE,2020,NA,"US Geological Survey, Cascades Volcano Observatory, 1300 SE Cardinal Court, Vancouver, WA  98683, United States; SGC: Servicio Geológico Colombiano, Diagonal 53 N0. 34 - 53, Bogotá D.C., Colombia; OVSM: Servicio Geológico Colombiano, Observatorio Vulcanológico y Sismológico de Manizales, Avenida 12 de Octubre No. 15-47, Manizales, Caldas, Colombia; US Geological Survey, Volcano Disaster Assistance Program, 1300 SE Cardinal Court, Vancouver, WA  98683, United States; Colombia Office of US Foreign Disaster Assistance (OFDA), Oficina de Los Estados Unidos de Asistencia Para Desastres en El Extranjero (USAID/OFDA), Washington, DC, United States; Pierce County, Economic Development Department, 950 Pacific Ave, Tacoma, WA  98402, United States; Washington State Department of Transportation, 310 Maple Park Avenue SE, Olympia, WA  98504-7300, United States; Mount Rainier National Park, 55210 238th Avenue East, Ashford, WA  98304, United States; Cruz Roja Colombiana- Seccional Tolima, Calle 38A No 5-40, Ibagué, Tolima, Colombia; Whatcom County Sheriff's Office Division of Emergency Management, 311 Grand Ave, Bellingham, WA  98225, United States; Pierce County Department of Emergency Management, 2501 S 35th St, Suite D, Tacoma, WA  98409, United States; Defensa Civil Colombiana - Seccional Caldas, Calle12A No 14-63, Manizales, Caldas, Colombia; Orting Valley Fire and Rescue, P.O. Box 386, Orting, WA  98360, United States; UDEGER: Unidad Departamental de Gestión de Riesgo de Desastres, Calle 22 No 20-52, Manizales, Caldas, Colombia; Secretaría de Ambiente y Gestión de Riesgo de Tolima, Calle 28 No 3-33, Ibagué, Tolima, Colombia; Cuerpo Oficial de Bomberos de Manizales, Calle 13A No 20-21, Manizales, Caldas, Colombia; Department of Homeland Security, 130 228th St SW, Bothell, Wa  98021, United States; P.O. Box 844, Leavenworth, WA  98826, United States",10.1186/s13617-019-0090-8,1,Journal of Applied Volcanology,  LEVERAGING LESSONS LEARNED TO PREVENT FUTURE DISASTERS  INSIGHTS FROM THE 2013 COLOMBIA US BINATIONAL EXCHANGE EDUCATION GEOLOGICAL SURVEY LAHAR LEARNING MITIGATION RISK ASSESSMENT VOLCANO CASCADE RANGE COLOMBIA NEVADO DEL RUIZ TOLIMA UNITED STATES COMMUNITY BASED DISASTER RISK REDUCTION CBDRR EDUCATION EMERGENCY MANAGEMENT EXPERIENTIAL LEARNING LAHAR MITIGATION MOUNT BAKER MOUNT RAINIER NEVADO DEL RUIZ TRAINING EDUCATION GEOLOGICAL SURVEY LAHAR LEARNING MITIGATION RISK ASSESSMENT VOLCANO CASCADE RANGE COLOMBIA NEVADO DEL RUIZ TOLIMA UNITED STATES  ,Baker,USA
"Corwin K.A., Brand B.D., Hubbard M.L., Johnston D.M.",HOUSEHOLD PREPAREDNESS MOTIVATION IN LAHAR HAZARD ZONES ASSESSING THE ADOPTION OF PREPAREDNESS BEHAVIORS AMONG LAYPEOPLE AND RESPONSE PROFESSIONALS IN COMMUNITIES DOWNSTREAM FROM MOUNT BAKER AND GLACIER PEAK USA VOLCANOES,2017,NA,"Department of Geosciences, Boise State University, Boise, ID, United States; Department of Public Policy and Administration, Boise State University, Boise, ID, United States; GNS Science/Massey University, Palmerston North, New Zealand",10.1186/s13617-017-0055-8,6,Journal of Applied Volcanology,  HOUSEHOLD PREPAREDNESS MOTIVATION IN LAHAR HAZARD ZONES ASSESSING THE ADOPTION OF PREPAREDNESS BEHAVIORS AMONG LAYPEOPLE AND RESPONSE PROFESSIONALS IN COMMUNITIES DOWNSTREAM FROM MOUNT BAKER AND GLACIER PEAK USA VOLCANOES NA BEHAVIOR MOTIVATION DISASTER RISK MANAGEMENT EXPERT AND LAY PARTICIPATION PREPAREDNESS PROTECTION MOTIVATION THEORY PROTECTIVE ACTION DECISION MODEL RISK PERCEPTION VALUES BELIEFS NORMS THEORY VOLCANIC LAHAR HAZARDS ACTION PLAN DECISION ANALYSIS HAZARD ASSESSMENT HAZARD MANAGEMENT HOUSEHOLD SURVEY LOCAL GOVERNMENT LOCAL PARTICIPATION PERCEPTION RISK ASSESSMENT VOLCANIC ERUPTION VOLCANO CASCADE RANGE GLACIER PEAK MOUNT BAKER PACIFIC NORTHWEST SKAGIT VALLEY UNITED STATES UNITED STATES WASHINGTON UNITED STATES  ,Baker,USA
